REGIONID,forecast_error_mw
NSW1,7050.44
NSW1,7042.66
NSW1,7037.55
NSW1,7013.4
NSW1,6892.97
NSW1,6896.44
NSW1,6855.46
NSW1,6830.3
NSW1,6808.58
NSW1,6784.38
NSW1,6801.19
NSW1,6816.5
NSW1,6846.25
NSW1,6780.45
NSW1,6839.34
NSW1,6816.07
NSW1,6798.1
NSW1,6805.24
NSW1,6766.72
NSW1,6760.76
NSW1,6754.87
NSW1,6727.39
NSW1,6820.91
NSW1,6794.05
NSW1,6789.63
NSW1,6866.03
NSW1,6832.64
NSW1,6893.37
NSW1,6955.74
NSW1,7016.82
NSW1,6976.98
NSW1,7031.86
NSW1,7057.13
NSW1,7120.36
NSW1,7092.87
NSW1,7098.27
NSW1,7164.53
NSW1,7181.83
NSW1,7230.56
NSW1,7312.75
NSW1,7421.37
NSW1,7504.14
NSW1,7623.0
NSW1,7718.89
NSW1,7735.69
NSW1,7802.7
NSW1,7874.08
NSW1,7928.12
NSW1,8031.8
NSW1,8044.89
NSW1,8081.42
NSW1,8173.86
NSW1,8260.3
NSW1,8353.11
NSW1,8388.56
NSW1,8402.35
NSW1,8469.67
NSW1,8506.58
NSW1,8588.0
NSW1,8577.06
NSW1,8588.83
NSW1,8622.0
NSW1,8577.62
NSW1,8628.26
NSW1,8681.51
NSW1,8691.48
NSW1,8638.84
NSW1,8662.06
NSW1,8649.78
NSW1,8605.96
NSW1,8660.34
NSW1,8639.17
NSW1,8577.14
NSW1,8648.42
NSW1,8634.39
NSW1,8598.18
NSW1,8624.99
NSW1,8658.65
NSW1,8596.28
NSW1,8613.93
NSW1,8572.18
NSW1,8423.86
NSW1,8509.49
NSW1,8447.18
NSW1,8380.77
NSW1,8325.89
NSW1,8368.46
NSW1,8293.09
NSW1,8321.74
NSW1,8312.03
NSW1,8280.79
NSW1,8244.26
NSW1,8202.01
NSW1,8208.99
NSW1,8323.23
NSW1,8419.22
NSW1,8384.32
NSW1,8516.36
NSW1,8335.72
NSW1,8317.23
NSW1,8338.26
NSW1,8217.37
NSW1,8116.83
NSW1,8118.95
NSW1,8043.52
NSW1,8092.62
NSW1,7988.42
NSW1,7893.06
NSW1,7802.08
NSW1,7784.82
NSW1,7819.44
NSW1,7734.03
NSW1,7726.74
NSW1,7697.06
NSW1,7664.47
NSW1,7628.56
NSW1,7589.02
NSW1,7554.89
NSW1,7489.46
NSW1,7478.72
NSW1,7430.31
NSW1,7481.6
NSW1,7403.53
NSW1,7468.88
NSW1,7513.49
NSW1,7433.27
NSW1,7428.34
NSW1,7432.27
NSW1,7397.84
NSW1,7409.1
NSW1,7424.25
NSW1,7404.04
NSW1,7362.62
NSW1,7385.37
NSW1,7389.41
NSW1,7415.42
NSW1,7441.23
NSW1,7425.49
NSW1,7438.5
NSW1,7465.0
NSW1,7464.71
NSW1,7472.88
NSW1,7558.07
NSW1,7509.57
NSW1,7549.73
NSW1,7604.67
NSW1,7630.77
NSW1,7743.51
NSW1,7783.5
NSW1,7827.24
NSW1,7952.22
NSW1,8074.62
NSW1,8146.6
NSW1,8224.56
NSW1,8311.62
NSW1,8378.77
NSW1,8440.74
NSW1,8497.52
NSW1,8621.69
NSW1,8703.74
NSW1,8745.95
NSW1,8883.52
NSW1,9015.6
NSW1,9182.63
NSW1,9304.94
NSW1,9500.5
NSW1,9612.38
NSW1,9695.94
NSW1,9894.48
NSW1,10067.65
NSW1,10226.82
NSW1,10298.83
NSW1,10314.58
NSW1,10381.79
NSW1,10425.33
NSW1,10582.57
NSW1,10599.05
NSW1,10635.57
NSW1,10679.27
NSW1,10714.02
NSW1,10795.94
NSW1,10800.52
NSW1,10769.74
NSW1,10802.26
NSW1,10730.22
NSW1,10668.62
NSW1,10693.99
