SETTLEMENTDATE,DUID,FUEL_TYPE,scada_mw
2026-03-12 15:40:00,CPP_3,Black coal,420.75
2026-03-12 15:40:00,ER01,Black coal,437.15268
2026-03-12 15:40:00,ER02,Black coal,440.86365
2026-03-12 15:40:00,ER03,Black coal,438.51987
2026-03-12 15:40:00,ER04,Black coal,436.5423
2026-03-12 15:40:00,KPP_1,Black coal,392.61139
2026-03-12 15:40:00,STOCKYD1,Wind,440.85999
2026-03-12 15:40:00,WDGPH1,Solar,377.80801
2026-03-12 15:45:00,BW03,Black coal,372.21027
2026-03-12 15:45:00,BW04,Black coal,500.58136
2026-03-12 15:45:00,CPP_3,Black coal,418.27499
2026-03-12 15:45:00,ER01,Black coal,442.6459
2026-03-12 15:45:00,ER02,Black coal,445.03854
2026-03-12 15:45:00,ER03,Black coal,448.2124
2026-03-12 15:45:00,ER04,Black coal,441.40079
2026-03-12 15:45:00,KPP_1,Black coal,412.51865
2026-03-12 15:45:00,STOCKYD1,Wind,437.70001
2026-03-12 15:45:00,WDGPH1,Solar,377.80801
2026-03-12 15:50:00,BW03,Black coal,364.86151
2026-03-12 15:50:00,BW04,Black coal,520.6012
2026-03-12 15:50:00,CPP_3,Black coal,424.05002
2026-03-12 15:50:00,ER01,Black coal,430.92697
2026-03-12 15:50:00,ER02,Black coal,432.19653
2026-03-12 15:50:00,ER03,Black coal,430.58517
2026-03-12 15:50:00,ER04,Black coal,429.26682
2026-03-12 15:50:00,KPP_1,Black coal,434.07083
2026-03-12 15:50:00,STOCKYD1,Wind,459.82001
2026-03-12 15:50:00,WDGPH1,Solar,376.22403
2026-03-12 15:55:00,BW03,Black coal,376.01892
2026-03-12 15:55:00,BW04,Black coal,537.12976
2026-03-12 15:55:00,CPP_3,Black coal,417.17501999999996
2026-03-12 15:55:00,ER01,Black coal,436.2737399999999
2026-03-12 15:55:00,ER02,Black coal,444.20844000000005
2026-03-12 15:55:00,ER03,Black coal,440.10681
2026-03-12 15:55:00,ER04,Black coal,437.8851
2026-03-12 15:55:00,KPP_1,Black coal,432.9798
2026-03-12 15:55:00,STOCKYD1,Wind,487.47
2026-03-12 15:55:00,WDGPH1,Solar,373.32303
2026-03-12 16:00:00,BW03,Black coal,377.43497
2026-03-12 16:00:00,BW04,Black coal,560.88501
2026-03-12 16:00:00,CPP_3,Black coal,424.05001999999996
2026-03-12 16:00:00,ER01,Black coal,450.2388
