hour_start,REGIONID,avg_net_interchange_mw
2026-03-03 17:00:00,VIC1,885.43
2026-03-03 18:00:00,NSW1,-1080.96
2026-03-03 18:00:00,QLD1,137.74
2026-03-03 18:00:00,SA1,-293.45
2026-03-03 18:00:00,TAS1,-1.04
2026-03-03 18:00:00,VIC1,1386.04
2026-03-03 19:00:00,NSW1,-1072.02
2026-03-03 19:00:00,QLD1,172.8
2026-03-03 19:00:00,SA1,-520.57
2026-03-03 19:00:00,TAS1,-1.58
2026-03-03 19:00:00,VIC1,1563.22
2026-03-03 20:00:00,NSW1,-1056.77
2026-03-03 20:00:00,QLD1,243.1
2026-03-03 20:00:00,SA1,-572.58
2026-03-03 20:00:00,TAS1,0.0
2026-03-03 20:00:00,VIC1,1514.78
2026-03-03 21:00:00,NSW1,-1360.08
2026-03-03 21:00:00,QLD1,480.18
2026-03-03 21:00:00,SA1,-596.7
2026-03-03 21:00:00,TAS1,-1.36
2026-03-03 21:00:00,VIC1,1633.33
2026-03-03 22:00:00,NSW1,-1316.38
2026-03-03 22:00:00,QLD1,415.12
2026-03-03 22:00:00,SA1,-628.63
2026-03-03 22:00:00,TAS1,0.0
2026-03-03 22:00:00,VIC1,1695.21
2026-03-03 23:00:00,NSW1,-1333.53
2026-03-03 23:00:00,QLD1,687.32
2026-03-03 23:00:00,SA1,-635.8
2026-03-03 23:00:00,TAS1,-1.52
2026-03-03 23:00:00,VIC1,1422.71
2026-03-04 00:00:00,NSW1,-1387.17
2026-03-04 00:00:00,QLD1,786.56
2026-03-04 00:00:00,SA1,-719.35
2026-03-04 00:00:00,TAS1,0.0
2026-03-04 00:00:00,VIC1,1489.88
2026-03-04 01:00:00,NSW1,-1465.63
2026-03-04 01:00:00,QLD1,947.01
2026-03-04 01:00:00,SA1,-721.22
2026-03-04 01:00:00,TAS1,0.0
2026-03-04 01:00:00,VIC1,1422.71
2026-03-04 02:00:00,NSW1,-1363.95
2026-03-04 02:00:00,QLD1,878.53
2026-03-04 02:00:00,SA1,-700.35
2026-03-04 02:00:00,TAS1,-0.24
