INTERVAL_DATETIME,REGIONID,forecast_rrp,actual_rrp,error_rrp
2026-03-12 16:15:00,TAS1,60.62,69.77,-9.15
2026-03-12 16:15:00,VIC1,-13.4,-4.42,-8.98
2026-03-12 16:20:00,NSW1,33.51,53.4,-19.89
2026-03-12 16:20:00,QLD1,34.75,54.71,-19.96
2026-03-12 16:20:00,SA1,-4.26,-20.0,15.74
2026-03-12 16:20:00,TAS1,60.61,69.45,-8.84
2026-03-12 16:20:00,VIC1,-13.4,-4.75,-8.65
2026-03-12 16:25:00,NSW1,37.89,52.0,-14.11
2026-03-12 16:25:00,QLD1,40.8,54.71,-13.91
2026-03-12 16:25:00,SA1,-4.0,-19.85,15.85
2026-03-12 16:25:00,TAS1,66.97,70.36,-3.39
2026-03-12 16:25:00,VIC1,-7.25,-3.93,-3.32
2026-03-12 16:30:00,NSW1,47.01,51.3,-4.29
2026-03-12 16:30:00,QLD1,51.04,54.71,-3.67
2026-03-12 16:30:00,SA1,-5.17,-10.08,4.91
2026-03-12 16:30:00,TAS1,63.16,87.77,-24.6
2026-03-12 16:30:00,VIC1,-10.91,-3.25,-7.66
2026-03-12 16:35:00,NSW1,37.89,45.91,-8.02
2026-03-12 16:35:00,QLD1,51.08,51.08,0.0
2026-03-12 16:35:00,SA1,-4.26,-8.5,4.24
2026-03-12 16:35:00,TAS1,60.04,71.77,-11.73
2026-03-12 16:35:00,VIC1,-14.1,-2.5,-11.6
2026-03-12 16:40:00,NSW1,37.89,57.32,-19.43
2026-03-12 16:40:00,QLD1,53.4,62.46,-9.06
2026-03-12 16:40:00,SA1,-4.0,-14.99,10.99
2026-03-12 16:40:00,TAS1,61.0,64.18,-3.17
2026-03-12 16:40:00,VIC1,-7.25,-5.09,-2.16
2026-03-12 16:45:00,NSW1,37.89,,
2026-03-12 16:45:00,QLD1,53.4,,
2026-03-12 16:45:00,SA1,-4.0,,
2026-03-12 16:45:00,TAS1,69.17,,
2026-03-12 16:45:00,VIC1,-5.09,,
2026-03-12 16:50:00,NSW1,37.89,,
2026-03-12 16:50:00,QLD1,53.4,,
2026-03-12 16:50:00,SA1,-4.0,,
2026-03-12 16:50:00,TAS1,69.47,,
2026-03-12 16:50:00,VIC1,-4.75,,
2026-03-12 16:55:00,NSW1,37.89,,
2026-03-12 16:55:00,QLD1,53.4,,
2026-03-12 16:55:00,SA1,-4.0,,
2026-03-12 16:55:00,TAS1,70.01,,
2026-03-12 16:55:00,VIC1,-4.25,,
2026-03-12 17:00:00,NSW1,37.89,,
2026-03-12 17:00:00,QLD1,53.4,,
2026-03-12 17:00:00,SA1,-3.93,,
2026-03-12 17:00:00,TAS1,88.04,,
2026-03-12 17:00:00,VIC1,-4.0,,
2026-03-12 17:05:00,NSW1,28.92,,
2026-03-12 17:05:00,QLD1,54.71,,
2026-03-12 17:05:00,SA1,-4.0,,
2026-03-12 17:05:00,TAS1,88.04,,
